,Base_Qwen,,,,,,,RICE without retain CE,,,,,,,RICE without NPO,,,,,
,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget
,en,0.2513269812,0.1348784609,0.1898817735,0.1808744122,0.7644246642,,en,0.000009665088652,0.00000161093137,0.08028476102,0.000001322848311,0.8796747246,,en,0.3772024123,0.8713829892,0.582971333,2.38E-07,0.8350243448
,ar,0.1708717444,0.07746784939,0.1279291657,0.07796768743,0.7770231613,,ar,0.000005618163232,0.0000009363885016,0.06952303874,0.0000007220956171,0.8208100138,,ar,0.3470418592,0.8560433863,0.5178329136,6.11E-06,0.8209884338
,fa,0.1680500702,0.08673507819,0.1123613794,0.09743845584,0.7877739991,,fa,0.000005830001118,0.0000009716965491,0.0726688892,0.0000008902898519,0.8937695345,,fa,0.3222166597,0.8906044477,0.4811885848,9.96E-07,0.8477898547
,fr,0.2242964388,0.1350618703,0.1494694128,0.1445834427,0.8077631361,,fr,0.00000753818971,0.000001256417034,0.06909693984,0.000001229400799,0.8678866885,,fr,0.3585691512,0.8773071145,0.5400075803,3.02E-07,0.8606314326
,hi,0.1069741915,0.03547716241,0.08036072412,0.03401917845,0.8356656978,,hi,0.000004234666654,0.0000007057931991,0.0764363246,0.0000006956883324,0.8938741412,,hi,0.3104353766,0.8587433954,0.4133950789,8.21E-07,0.8867364697
,id,0.1860271104,0.08495412879,0.1435009178,0.1065022685,0.7909434549,,id,0.00000570824423,0.0000009514053797,0.067875893,0.000000830138784,0.8832484596,,id,0.3339351548,0.8798132298,0.5852988728,5.26E-07,0.8328897369
,iw,0.1903238618,0.1510096806,0.1045438655,0.1521682878,0.8405739276,,iw,0.000006678134002,0.000001113065332,0.06472186292,0.000001051250605,0.879892651,,iw,0.3104640606,0.8515940086,0.4660347372,1.73E-06,0.8496237327
,ja,0.1918637291,0.08439255571,0.1543465454,0.1044839803,0.7708152325,,ja,0.000003932130843,0.0000006553689928,0.07325581204,0.0000005166200523,0.8255872334,,ja,0.3606639945,0.9107410374,0.5420160898,6.97E-07,0.7915237452
,ko,0.1827719982,0.07802778754,0.1450642751,0.0980496331,0.770719374,,ko,0.000007509261882,0.000001251596148,0.07574192561,0.000001150025935,0.873216644,,ko,0.3361481247,0.903509918,0.5425124907,6.98E-07,0.8241899784
,ru,0.199254987,0.1158906537,0.1295691818,0.1127159306,0.8317996981,,ru,0.000004286833323,0.0000007144878257,0.08830408091,0.0000005558889378,0.8726882656,,ru,0.3318596807,0.893789473,0.4906291573,8.47E-07,0.8623415242
,total,0.1920940346,0.09838952276,0.1337027241,0.1108803277,0.7977502346,,total,0.000006100089797,0.000001016715033,0.07379095279,0.0000008964247224,0.8690648356,,total,0.3397747892,0.8793529,0.5161886838,1.30E-06,0.8411739253
,,,,,,,,,,,,,,,,,,,,
,Finetune_100,,,,,,,Gradient Ascent Forget Loss with RMU,,,,,,,,,,,,
,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,language,Model Utility,Prob. Retain,Truth Ratio Retain,Prob. Forget,Truth Ratio Forget,,,,,,,
,en,0.3929037239,0.9978923252,0.5823412794,0.9983797838,0.4655796441,,en,0.4041770912,0.8599558167,0.5852032255,0,0.433409093,,,,,,,
,ar,0.36073051,0.991409963,0.53747167,0.9807976871,0.4295486678,,ar,0.283775582,0.1599589611,0.4667708532,0,0.387244518,,,,,,,
,fa,0.3427850583,0.9937519019,0.5064980394,0.987870866,0.5189660056,,fa,0.2090034589,0.07522914722,0.444983569,0,0.3937120118,,,,,,,
,fr,0.3763904159,0.9956963579,0.5551832975,0.9918441774,0.4738781355,,fr,0.3633663881,0.5533327981,0.513841309,0,0.3587972075,,,,,,,
,hi,0.3271351446,0.9876128646,0.4349157708,0.9871431763,0.5804923478,,hi,0.1328141114,0.03351820954,0.3606952416,0,0.4906694115,,,,,,,
,id,0.3555756344,0.9962377951,0.5896964013,0.9965400772,0.4208455573,,id,0.3456618861,0.3494529237,0.5720691247,0,0.3599282697,,,,,,,
,iw,0.3300801513,0.9886194059,0.4932781094,0.9873367633,0.5410460784,,iw,0.243201297,0.1225211706,0.393040082,0,0.4516776304,,,,,,,
,ja,0.3884578844,0.9940375143,0.5630298374,0.9889969974,0.4808208425,,ja,0.2069438804,0.0685959473,0.4511129706,0,0.3099098096,,,,,,,
,ko,0.3567794906,0.9924644132,0.5517116089,0.9920544689,0.4371459416,,ko,0.3168417062,0.2258889187,0.4764374621,0,0.2961311618,,,,,,,
,ru,0.3573536318,0.9945858147,0.5064819098,0.9916631078,0.4748255135,,ru,0.306178996,0.2261162403,0.4801190353,0,0.3576549128,,,,,,,
